id	id	requirement number	description	answer type	answer text	has image	url (link)	has video?	video link	image files
2-2-3	T	2c	Explain the importance of eating together as a patrol.	text	Well, you won't die if don't eat with your patrol (hopefully), but it's always a good idea to get to know your teammates better! You're going to be with them for a while. So come on! Strike up a conversation while eating!	no	-	no		
2-3-1	T	3a	Demonstrate a practical use of the square knot.	text video	Square knots can be use to tie bandgaes, packages, and even joining two ropes together. So a good way to demonstrate this is to tie a box and lid together when the lid of said box isn't too functional.	no	-	yes	(placeholder)	
2-3-2	T	3b	Demonstrate a practical use of two half-hitches.	text video	Two half-hitches are useful if you need to tie a rope around a pole in which you can also manually adjust how tight the rope is. You can use this knot to tie down the rain fly of your tent.	no	-	yes	(placeholder)	
2-3-3	T	3c	Demonstrate a practical use of the taut-line hitch.	text video	Taut line hitches are somewhat similar to two half-hitches. This knot is useful if you need to tie the end of a rope onto a stake. You can combine this with the two half-hitches mentioned above. Use the taut line hitch to tie a rope around a stake, and use the two half-hitches on the other end to secure the rain fly of your tent.					
2-3-4	T	3d	Demonstrate proper care, sharpening, and use of the knife, saw, and ax. Describe when each should be used.	text	-					
2-4-1	T	4a	Show first aid for the following: Simple cuts and scrapes, blisters on the hand and foot, minor thermal/heat burns or scalds (superficial, first-degree), bites or stings of insects and ticks, venomous snake bite, nosebleed, frostbite and sunburn, and choking.	text	-					
2-4-2	T	4b	Describe common poisonous or hazardous plants; identify any that grow in your local area or campsite location. Tell how to treat for exposure to them.	text	Since we don't know where you live, we can't tell you what plants are near you! But most commonly, the three most well-known plants include the poison oak, ivy, and sumac. The treatment remains pretty much the same across all three. If you touch it, rinse it off with lukewarm water and soap as soon as possible. If not, try your best to not scratch it! But of course, the best way to deal with these nasties is to avoid 'em! Try to cover as much skin as possible when going through heavily-vegetated areas so the risk of your skin touching the poison plants stay as low as possible.					
2-4-3	T	4c	Tell what you can do while on a campout or other outdoor activity to prevent or reduce the occurrence of injuries or exposure listed in Tenderfoot requirements 4a and 4b. 	text	-					
2-4-4	T	4d	Assemble a personal first-aid kit to carry with you on future campouts and hikes. Tell how each item in the kit would be used.	text	In a common, lightweight, portable, and personal first-aid kit, you would need adhesive bandages (latex-free if you're allergic), gauze pads, adhesive tape, moleskin, soap and/or hand sanitizer, scissors, tweezers, disposable gloves, and CPR breathing barriers. You probably know how a bandage is used. Gauze pads are useful for controlling heavy wounds. You can use the tape to secure bandages and/or gauze(s). Usage of soap and hand sanitizer should be extemely obvious. Scissors are useful if you need to cut through things to apply first aid. Tweezers are useful to remove small things such as ticks. Gloves to prevent cross contamination, CPR breathing barriers just in case u don't wanna kiss whoever ur tryna rescue.					
2-5-1	T	5a	Explain the importance of the buddy system as it relates to your personal safety on outings and in your neighborhood. Use the buddy system while on a troop or patrol outing.	text	Let's say it's the middle of the night, and you suddenly have the urge to use the bathroom. You go without anyone and come face to face with a wild animal. The wild animal attacks you vicisouly while you're defenseless. You may also be a little bit of a distance away from your camp, so you can't actually walk back. This is where your life could potentially end. So what if you had someone with you? So let's say you get attacked. Yes, you get injured. But your buddy could fight the wild animal and perform basic first aid on you and call for help. You will always be safer with someone than if you're alone. Always grab someone with you if you will be somewhat distant from your troop.					
2-5-2	T	5b	Describe what to do if you become lost on a hike or campout.	text	STOP - (S)top moving, sit down and calm yourself. Then, (T)hink. Be aware of your current situation, your location, and how you got there in the first place. Sometimes, it might be good to just remain where you are because people will eventually start looking for you. (O)bserve. Can you somewhat determine where you are? Do you know the route to the nearest safe location? Is the weather going to get bad soon? Do you need to take shelter? (P)lan. Start making your moves. If you think you can get rescued, start making signals! If you can't get rescued... Well then, try your best to survive! It is always beneficial to learn about wilderness survival strategies in your spare time.					
2-5-3	T	5c	Explain the rules of safe hiking, both on the highway and cross-country, during the day and at night.	text	What's the most important is that you should always stay on trail. The shenanigans that happen off trail can be to an unimaginable level. Who knows? There could be a satanic ritual going on somewhere out there, and you definitely don't wanna be a part of that. (Just kiddding) Jokes aside - If you're hiking on a road, be sure to stick on the edges of the road the best you can, preferably in the bike lane. During the night, be sure to bring sources of light, which should be very obvious. Unfortunately, no you cannot craft potions of night vision (omg minecraft reference??!?!)					
2-6-1	T	6a	Record your best in the following tests: Push-ups (how many is done correctly in 60 seconds) / Sit-ups or curl-ups (number of times done correctly in 60 seconds) / Back-saver sit-and-reach (record the distance stretched) / 1 mile walk/run (record the time)	text	This, we can't really help you with! Everything here is up to you, and the requirement explains itself.					
2-6-2	T	6b	Develop and describe a plan for improvement in each of the activities listed in Tenderfoot requirement 6a. Keep track of your activity for at least 30 days.	text	Like 6a, there really isn't much we can do to help either! All we can say is, if you're getting not-very-good times, improve your diet, exercise more, and record what you do on a daily basis!					
2-6-3	T	6c	Show improvement (of any degree) in each activity listed in Tenderfoot requirement 6a after practicing for 30 days. Push-ups (how many is done correctly in 60 seconds) / Sit-ups or curl-ups (number of times done correctly in 60 seconds) / Back-saver sit-and-reach (record the distance stretched) / 1 mile walk/run (record the time)	text	The requirement explains itself lol (it's very obvious, is it not?)	no	-	yes	(placeholder)	
2-7-1	T	7a	Demonstrate how to display, raise, lower, and fold the American flag.	text video	This is better taught with a video instead of text instructions. See this video below:					
2-7-2	T	7b	Participate in a total of one hour of service in one or more service projects approved by your Scoutmaster. Explain how your service to others relates to the Scout slogan and Scout motto.	text	Do a good turn daily. It doesn't have to be like donating a few thousand dollars to someone unfortunate, even though it can be. It can simply be as simple as picking something up for someone, holding the door for people, or even having someone's back in a tough situation!					
2-8-0	T	8	Describe the steps in Scouting's EDGE method. Use the Teaching EDGE method to teach another person how to tie the square knot.	text	Explain, Demonstrate, Guide, Enable. First, you gotta explain the stuff to the scout. How does it work? Then, you demonstrate how it's done. After that, you let the scout do it but with guidance, and let them do it one more time without guidance.					
2-9-0	T	9	Demonstrate Scout spirit by living the Scout Oath and Scout Law. Tell how you have done your duty to God and how you have lived four different points of the Scout Law in your everyday life.	text	-					
2-10-0	T	10	While working toward the Tenderfoot rank, and after completing Scout rank requirement 7, participate in a Scoutmaster conference.	text	You did this before, and you can do it again. It's the same thing :) (From now on, answers to this requirement will always be the same)					
2-11-0	T	11	Successfully complete your board of review for the Tenderfoot rank.	text	A Board of Review (BOR for short) is like a job interview. Several volunteers who conduct this will ask you questions that probably are similar to what your scoutmaster will ask you in a conference. We can't help you much with this requirement as every troop might do their BOR's slightly differently. Be sure to ask the powerful scouts (aka SPL's or ASPL's or your patrol leader) on how to do this.					
										
3-1-1	SC	1a	Since joining Scouts BSA, participate in five separate troop/patrol activities, at least three of which must be held outdoors. Of the outdoor activities, at least two must include overnight camping. These activities do not include troop or patrol meetings. On campouts, spend the night in a tent that you pitch or other structure that you help erect, such as a lean-to, snow cave, or tepee.	text	Pretty self-explanatory! Go participate in some troop campouts!					
3-1-2	SC	1b	Explain the principles of Leave No Trace and tell how you practiced them on a campout or outing. This outing must be different from the one used for Tenderfoot requirement 1c.	text	Leave No Trace. Leave the place better than you found it. Don't litter. Don't play with fire. Follow the outdoor code. Pick up after yourself. When you leave, make sure that whatever campsite (as an example) you camped at does not look worse than before you pitched your tent.					
3-1-3	SC	1c	On one of these campouts, select a location for your patrol site and recommend it to your patrol leader, senior patrol leader, or troop guide. Explain what factors you should consider when choosing a patrol site and where to pitch a tent.	text	Depending on your patrol size and the type of terrain, you may or may not have to actually look for one. Let's say you're in a flat area. There really isn't a point of finding the "right place" as you can basically go anywhere as long as you're in the correct campside. But let's say you're in a mountainous region. You need to consider your patrol size as well as other patrols. If your patrol is large, it would be ideal if you guys take the largest available large flat space. However, if your patrol is small, you should be considerate and choose a smaller flat area to camp in!					
3-2-1	SC	2a	Explain when it is appropriate to use a fire for cooking or other purposes and when it would not be appropriate to do so.	text	This should be common sense! Use a fire for cooking, fusing a rope, boil water, start a campfire (if the campsite allows it), etc. But never play with fire. Don't light a match and throw it around, don't light random sticks on fire. Honestly, don't do stupid stuff with fire. There really isn't a good way to explain this!					
3-2-2	SC	2b	Use a pocketknife, and a saw or axe if needed, to prepare tinder, kindling, and fuel wood for a cooking fire.	text	Tinder (not the dating app) is the stuff that's really easy to light on fire. Kindling is what keeps the fire going. Use a pocketknife to cut small wood shavings if no better tinders are available (i.e. dry moss, dryer lint). Use a hatchet or axe to split large pieces of wood apart to sustain your fire. Be careful! Know your knife and axe safety!					
3-2-3	SC	2c	At an approved outdoor location and time, use the tinder, kindling, and fuel wood from Second Class requirement 2b to demonstrate how to build a fire. Unless prohibited by local fire restrictions, light the fire. After allowing the flames to burn safely for at least two minutes, safely extinguish the flames with minimal impact to the fire site.	text video	There's a ton of ways to build a fire, but the most common way to build a fire is the Teepee method. Look this up! There are tons of tutorials on this. We'll include one here as well.	no	-	yes	(place here later)	
3-2-4	SC	2d	Explain when it is appropriate to use a lightweight stove and when it is appropriate to use a propane stove. Set up a lightweight stove or propane stove. Unless prohibited by local fire restrictions, light the stove. Describe the safety procedures for using these types of stoves.	text video	Lightweight stoves should be used on a backpacking campout where every gram counts!	no	-	yes	(place here later)	
3-2-5	SC	2e	On one campout, plan and cook one hot breakfast or lunch, selecting foods from MyPlate or the current USDA nutritional model. Explain the importance of good nutrition. Demonstrate how to transport, store, and prepare the foods you selected.	text	-					
3-2-6	SC	2f	Demonstrate tying the sheet bend knot. Describe a situation in which you would use this knot.	text	-					
3-2-7	SC	2g	Demonstrate tying the bowline knot. Describe a situation in which you would use this knot.	text	-					
3-3-1	SC	3a	Demonstrate how a compass works and how to orient a map. Use a map to point out and tell the meaning of five map symbols.	text	-					
3-3-2	SC	3b	Using a compass and map together, take a 5-mile hike (or 10 miles by bike) approved by your adult leader and your parent or guardian.	text	-					
3-3-3	SC	3c	Describe some hazards or injuries that you might encounter on your hike and what you can do to help prevent them.	text	There are too many, but here are some examples. Poison plants: Prevent these by wearing clothing that covers your skin. Wild animals: Generally, you want to stop in your tracks, and move back slowly until it goes away. Unplesant/dangerous weather: Check the forecast. If it's gonna go full-on stormin', postpone your trip!					
3-3-4	SC	3d	Demonstrate how to find directions during the day and at night without using a compass or an electronic device.	text	Here's some common examples, although you should look up more on your own! During the day, you can use the sun to navigate. It always rises from the east, and sets in the west. During nighttime, you can try to find the North Star, which should be the brightest star in the night sky. The North Star will always point you to the north.					
3-4-0	SC	4	Identify or show evidence of at least 10 kinds of wild animals (such as birds, mammals, reptiles, fish, or mollusks) found in your local area or camping location. You may show evidence by tracks, signs, or photographs you have taken.	text	Search around! Do you see any animal tracks? Do you see poop of some sort that may signal towards what animal it is? Have you seen them right in front of you? Document them down! Take a picture (of course, don't disturb the animals! Do it from a distance.)!					
3-5-1	SC	5a	Tell what precautions must be taken for a safe swim.	text	First and most important: Check the weather. Make sure it's nice and pleasant outside. Don't go out swimmin' in a storm unless ya want to get yourself killed (which according to the internet, you have a 10% chance of death if you get struck by one. So better be safe than sorry!). Also, make sure you don't have any open wounds. Who tf knows what's in that water? You definitely don't want to get a disease, right? FYI there's a ton of diseases you can get from swimming with an open wound. Some can be life-threatening. 					
3-5-2	SC	5b	Demonstrate your ability to pass the BSA beginner test: Jump feet first into water over your head in depth, level off and swim 25 feet on the surface, stop, turn sharply, resume swimming, then return to your starting place.	text	-					
3-5-3	SC	5c	Demonstrate water rescue methods by reaching with your arm or leg, by reaching with a suitable object, and by throwing lines and objects.	text	-					
3-5-4	SC	5d	Explain why swimming rescues should not be attempted when a reaching or throwing rescue is possible. Explain why and how a rescue swimmer should avoid contact with the victim.	text	Should be pretty common sense. The victim is so desperate to stay afloat that they may or may not hold on to you so strongly that you drown yourself. Always attempt to make them grab onto something which you have full control of and could work with easily. Swimming to rescue someone should be your absolute last resort.					
3-6-1	SC	6a	Demonstrate first aid for the following: Object in the eye, bite of a suspected rabid animal, puncture wounds from a splinter, nail, and fishhook, serious burns (partial thickness, or second-degree), heat exhaustion, shock, heatstroke, dehydration, hypothermia, and hyperventilation.	text	-					
3-6-2	SC	6b	Show what to do for "hurry" cases of stopped breathing, stroke, severe bleeding, and ingested poisoning.	text	-					
3-6-3	SC	6c	Tell what you can do while on a campout or hike to prevent or reduce the occurrence of the injuries listed in Second Class requirements 6a and 6b.	text	-					
3-6-4	SC	6d	Explain what to do in case of accidents that require emergency response in the home and backcountry. Explain what constitutes an emergency and what information you will need to provide to a responder.	text	-					
3-6-5	SC	6e	Tell how you should respond if you come upon the scene of a vehicular accident.	text	-					
3-7-1	SC	7a	After completing Tenderfoot requirement 6c, be physically active at least 30 minutes each day for five days a week for four weeks. Keep track of your activities.	text	Quite obvious on how you should do this lol. Do some exercising each day, and keep track of what you do. You got this :)					
3-7-2	SC	7b	Share your challenges and successes in completing Second Class requirement 7a. Set a goal for continuing to include physical activity as part of your daily life and develop a plan for doing so.	text	Quite obvious, once again. Talk to whoever's signing this requirement - how do you plan to keep yourself active and healthy?					
3-7-3	SC	7c	Participate in a school, community, or troop program on the dangers of using drugs, alcohol, and tobacco and other practices that could be harmful to your health. Discuss your participation in the program with your family, and explain the dangers of substance addictions. Report to your Scoutmaster or other adult leader in your troop about which parts of the Scout Oath and Scout Law relate to what you learned.	text	-					
3-8-1	SC	8a	Participate in a flag ceremony for your school, religious institution, chartered organization, community, or Scouting activity.	text	-					
3-8-2	SC	8b	Explain what respect is due the flag of the United States.	text	-					
3-8-3	SC	8c	With your parents or guardian, decide on an amount of money that you would like to earn, based on the cost of a specific item you would like to purchase. Develop a written plan to earn the amount agreed upon and follow that plan; it is acceptable to make changes to your plan along the way. Discuss any changes made to your original plan and whether you met your goal.	text	-					
3-8-4	SC	8d	At a minimum of three locations, compare the cost of the item for which you are saving to determine the best place to purchase it. After completing Second Class requirement 8c, decide if you will use the amount that you earned as originally intended, save all or part of it, or use it for another purpose.	text	-					
3-8-5	SC	8e	Participate in two hours of service through one or more service projects approved by your Scoutmaster. Tell how your service to others relates to the Scout Oath.	text	Not hard! You can try asking your leaders on possible places around you where you can get some volunteer hours. Examples could include food banks, homeless shelters, nurseries, etc. Remember the "To help others at all times" from your Scout Oath? This is just that in practice.					
3-9-1	SC	9a	Explain the three R's of personal safety and protection.	text	Recognize, Respond, Report. Recognize - Try to recognize the danger you're in, then Respond - if you're forced to confrontation (i.e. you have to fight), then confront. If you have the option to run away, run away. Then Report - report the situation to a trusted adult or 911 if you think you were just in a life-threatening danger (i.e. someone attempted to murder you), or you might be sexually assaulted. There are way more examples, but these are some common scenarios.					
3-9-2	SC	9b	Describe bullying; tell what the appropriate response is to someone who is bullying you or another person.	text	-					
3-10-0	SC	10	Demonstrate Scout spirit by living the Scout Oath and Scout Law. Tell how you have done your duty to God and how you have lived four different points of the Scout Law (not to include those used for Tenderfoot requirement 9) in your everyday life.	text	-					
3-11-0	SC	11	While working toward the Second Class rank, and after completing Tenderfoot requirement 10, participate in a Scoutmaster conference.	text	You did this before, and you can do it again. It's the same thing :)					
3-12-0	SC	12	Successfully complete your board of review for the Second Class rank.	text	You did this before, and you can do it again. It's the same thing :)					
										
4-1-1	F	1a	Since joining Scouts BSA, participate in 10 separate troop/patrol activities, at least six of which must be held outdoors. Of the outdoor activities, at least three must include overnight camping. These activities do not include troop or patrol meetings. On campouts, spend the night in a tent that you pitch or other structure that you help erect, such as a lean-to, snow cave, or tepee.	text	Same as Second Class 1a! Participate in some troop campouts. You got this!					
4-1-2	F	1b	Explain each of the principles of Tread Lightly! and tell how you practiced them on a campout or outing. This outing must be different from the ones used for Tenderfoot requirement 1c and Second Class requirement 1b.	text	Stay on trails, respect others, educate yourself about the area, regulations, etc, avoid potentially dangerous areas, and do your part. Leave the place better than you found it.					
4-2-1	F	2a	Help plan a menu for one of the above campouts that includes at least one breakfast, one lunch, and one dinner, and that requires cooking at least two of the meals. Tell how the menu includes the foods from MyPlate or the current USDA nutritional model and how it meets nutritional needs for the planned activity or campout.	text	-					
4-2-2	F	2b	Using the menu planned in First Class requirement 2a, make a list showing a budget and the food amounts needed to feed three or more youth. Secure the ingredients.	text	-					
4-2-3	F	2c	Show which pans, utensils, and other gear will be needed to cook and serve these meals.	text	-					
4-2-4	F	2d	Demonstrate the procedures to follow in the safe handling and storage of fresh meats, dairy products, eggs, vegetables, and other perishable food products. Show how to properly dispose of camp garbage, cans, plastic containers, and other rubbish.	text	-					
4-2-5	F	2e	On one campout, serve as cook. Supervise your assistant(s) in using a stove or building a cooking fire. Prepare the breakfast, lunch, and dinner planned in First Class requirement 2a. Supervise the cleanup.	text	-					
4-3-1	F	3a	Discuss when you should and should not use lashings.	text	Lashings should typically be used when you're trying to connect multiple big sticks/poles together. If you're building a, for example, shelter, you should use lashings to tie the poles together to form a roof, a platform, a floor, etc. Don't use a square knot when you're tying poles together. You probably will have a hard time doing so and it won't come out great!					
4-3-2	F	3b	Demonstrate tying the timber hitch and clove hitch.	image video	-	yes	https://drive.google.com/uc?export=download&id=1c6BQFVW3VxSSGCBU5FsL8nSVmxUgWijh	yes	(placeholder)	test6
4-3-3	F	3c	Demonstrate tying the square, shear, and diagonal lashings by joining two or more poles or staves together.	image video	-	yes	https://drive.google.com/uc?export=download&id=1c6BQFVW3VxSSGCBU5FsL8nSVmxUgWijh	yes	(placeholder)	test7
4-3-4	F	3d	Use lashings to make a useful camp gadget or structure.	text	-					
4-4-1	F	4a	Using a map and compass, complete an orienteering course that covers at least one mile and requires measuring the height and/or width of designated items (tree, tower, canyon, ditch, etc.).	text	-					
4-4-2	F	4b	Demonstrate how to use a handheld GPS unit, GPS app on a smartphone, or other electronic navigation system while on a campout or hike. Use GPS to find your current location, a destination of your choice, and the route you will take to get there. Follow that route to arrive at your destination.	text	-					
4-5-1	F	5a	Identify or show evidence of at least 10 kinds of native plants found in your local area or campsite location. You may show evidence by identifying fallen leaves or fallen fruit that you find in the field, or as part of a collection you have made, or by photographs you have taken.	text	-					
4-5-2	F	5b	Identify two ways to obtain a weather forecast for an upcoming activity. Explain why weather forecasts are important when planning for an event.	text	-					
4-5-3	F	5c	Describe at least three natural indicators of impending hazardous weather, the potential dangerous events that might result from such weather conditions, and the appropriate actions to take.	text	Clouds - If there are huge clouds coming your way, and the sky is growing unusually dark, you probably will expect a storm or some rain. Birds - If you see birds flying really low on the ground, it usually indicates towards precipitation (rain). 					
4-5-4	F	5d	Describe extreme weather conditions you might encounter in the outdoors in your local geographic area. Discuss how you would determine ahead of time the potential risk of these types of weather dangers, alternative planning considerations to avoid such risks, and how you would prepare for and respond to those weather conditions.	text	Because we don't know where you live, we can't help you! But this can be solved with a simple search on the internet. Dry places might experience severe droughts and (maybe) sandstorms, while wet places can experience severe rainstorms.					
4-6-1	F	6a	Successfully complete the BSA swimmer test.	text	-					
